"---"
"Dataset: Underlying Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"Title: trafficdeathsweekday"
"ICD-10 Codes: V01-V99 (Transport accidents)"
"Group By: Cause of death; Weekday"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 8, 2023 7:14:03 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 8, 2023 7:14:03 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#NotApplicableRates."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"4. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"5. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"6. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#ICD-10 Changes."
"Notes"	"Cause of death"	"Cause of death Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V23.4"	"Wednesday"	"4"	439	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V23.4"	"Thursday"	"5"	466	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V23.4"	"Friday"	"6"	600	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V23.4"	"Saturday"	"7"	713	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V23.5"	"Sunday"	"1"	38	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V23.5"	"Monday"	"2"	20	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V23.5"	"Tuesday"	"3"	24	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V23.5"	"Wednesday"	"4"	20	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V23.5"	"Thursday"	"5"	23	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V23.5"	"Friday"	"6"	34	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V23.5"	"Saturday"	"7"	55	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in traffic accident"	"V23.9"	"Sunday"	"1"	29	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in traffic accident"	"V23.9"	"Monday"	"2"	21	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in traffic accident"	"V23.9"	"Tuesday"	"3"	20	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in traffic accident"	"V23.9"	"Wednesday"	"4"	27	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in traffic accident"	"V23.9"	"Thursday"	"5"	23	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in traffic accident"	"V23.9"	"Friday"	"6"	16	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, unspecified motorcycle rider injured in traffic accident"	"V23.9"	"Saturday"	"7"	27	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V24.4"	"Sunday"	"1"	35	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V24.4"	"Monday"	"2"	57	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V24.4"	"Tuesday"	"3"	57	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V24.4"	"Wednesday"	"4"	61	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V24.4"	"Thursday"	"5"	70	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V24.4"	"Friday"	"6"	63	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V24.4"	"Saturday"	"7"	50	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in nontraffic accident"	"V27.0"	"Saturday"	"7"	10	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	"V27.4"	"Sunday"	"1"	498	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	"V27.4"	"Monday"	"2"	258	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	"V27.4"	"Tuesday"	"3"	236	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	"V27.4"	"Wednesday"	"4"	273	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	"V27.4"	"Thursday"	"5"	243	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	"V27.4"	"Friday"	"6"	305	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, driver injured in traffic accident"	"V27.4"	"Saturday"	"7"	496	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V27.5"	"Sunday"	"1"	27	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V27.5"	"Monday"	"2"	10	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V27.5"	"Wednesday"	"4"	10	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V27.5"	"Friday"	"6"	13	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V27.5"	"Saturday"	"7"	26	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident"	"V27.9"	"Sunday"	"1"	42	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident"	"V27.9"	"Monday"	"2"	18	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident"	"V27.9"	"Tuesday"	"3"	20	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident"	"V27.9"	"Wednesday"	"4"	15	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident"	"V27.9"	"Thursday"	"5"	22	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident"	"V27.9"	"Friday"	"6"	20	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with fixed or stationary object, unspecified motorcycle rider injured in traffic accident"	"V27.9"	"Saturday"	"7"	34	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic accident"	"V28.0"	"Tuesday"	"3"	10	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, driver injured in nontraffic accident"	"V28.0"	"Saturday"	"7"	11	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident"	"V28.4"	"Sunday"	"1"	373	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident"	"V28.4"	"Monday"	"2"	193	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident"	"V28.4"	"Tuesday"	"3"	190	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident"	"V28.4"	"Wednesday"	"4"	181	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident"	"V28.4"	"Thursday"	"5"	205	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident"	"V28.4"	"Friday"	"6"	264	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, driver injured in traffic accident"	"V28.4"	"Saturday"	"7"	383	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, passenger injured in traffic accident"	"V28.5"	"Sunday"	"1"	42	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, passenger injured in traffic accident"	"V28.5"	"Monday"	"2"	20	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, passenger injured in traffic accident"	"V28.5"	"Tuesday"	"3"	17	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, passenger injured in traffic accident"	"V28.5"	"Wednesday"	"4"	12	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, passenger injured in traffic accident"	"V28.5"	"Thursday"	"5"	17	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, passenger injured in traffic accident"	"V28.5"	"Friday"	"6"	24	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, passenger injured in traffic accident"	"V28.5"	"Saturday"	"7"	42	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in traffic accident"	"V28.9"	"Sunday"	"1"	22	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in traffic accident"	"V28.9"	"Monday"	"2"	19	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in traffic accident"	"V28.9"	"Tuesday"	"3"	26	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in traffic accident"	"V28.9"	"Wednesday"	"4"	17	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in traffic accident"	"V28.9"	"Thursday"	"5"	22	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in traffic accident"	"V28.9"	"Friday"	"6"	27	Not Applicable	Not Applicable
	"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in traffic accident"	"V28.9"	"Saturday"	"7"	29	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"	"V29.0"	"Saturday"	"7"	16	Not Applicable	Not Applicable
	"Motorcycle rider [any] injured in unspecified nontraffic accident"	"V29.3"	"Saturday"	"7"	14	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.4"	"Sunday"	"1"	820	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.4"	"Monday"	"2"	537	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.4"	"Tuesday"	"3"	593	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.4"	"Wednesday"	"4"	589	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.4"	"Thursday"	"5"	598	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.4"	"Friday"	"6"	725	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.4"	"Saturday"	"7"	917	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.5"	"Sunday"	"1"	77	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.5"	"Monday"	"2"	37	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.5"	"Tuesday"	"3"	33	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.5"	"Wednesday"	"4"	27	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.5"	"Thursday"	"5"	39	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.5"	"Friday"	"6"	40	Not Applicable	Not Applicable
	"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.5"	"Saturday"	"7"	68	Not Applicable	Not Applicable
	"Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.6"	"Sunday"	"1"	30	Not Applicable	Not Applicable
	"Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.6"	"Monday"	"2"	29	Not Applicable	Not Applicable
	"Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.6"	"Tuesday"	"3"	21	Not Applicable	Not Applicable
	"Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.6"	"Wednesday"	"4"	20	Not Applicable	Not Applicable
	"Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.6"	"Thursday"	"5"	23	Not Applicable	Not Applicable
	"Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.6"	"Friday"	"6"	24	Not Applicable	Not Applicable
	"Unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in traffic accident"	"V29.6"	"Saturday"	"7"	28	Not Applicable	Not Applicable
	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	"Sunday"	"1"	1009	Not Applicable	Not Applicable
	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	"Monday"	"2"	596	Not Applicable	Not Applicable
	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	"Tuesday"	"3"	567	Not Applicable	Not Applicable
	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	"Wednesday"	"4"	626	Not Applicable	Not Applicable
	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	"Thursday"	"5"	610	Not Applicable	Not Applicable
	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	"Friday"	"6"	751	Not Applicable	Not Applicable
	"Motorcycle rider [any] injured in unspecified traffic accident"	"V29.9"	"Saturday"	"7"	1045	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	"Sunday"	"1"	1024	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	"Monday"	"2"	950	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	"Tuesday"	"3"	945	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	"Wednesday"	"4"	879	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	"Thursday"	"5"	947	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	"Friday"	"6"	1056	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V43.5"	"Saturday"	"7"	1089	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V43.6"	"Sunday"	"1"	452	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V43.6"	"Monday"	"2"	357	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V43.6"	"Tuesday"	"3"	340	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V43.6"	"Wednesday"	"4"	339	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V43.6"	"Thursday"	"5"	285	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V43.6"	"Friday"	"6"	398	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident"	"V43.6"	"Saturday"	"7"	481	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident"	"V43.9"	"Sunday"	"1"	75	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident"	"V43.9"	"Monday"	"2"	53	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident"	"V43.9"	"Tuesday"	"3"	41	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident"	"V43.9"	"Wednesday"	"4"	51	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident"	"V43.9"	"Thursday"	"5"	72	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident"	"V43.9"	"Friday"	"6"	86	Not Applicable	Not Applicable
	"Car occupant injured in collision with car, pick-up truck or van, unspecified car occupant injured in traffic accident"	"V43.9"	"Saturday"	"7"	62	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V44.5"	"Sunday"	"1"	115	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V44.5"	"Monday"	"2"	195	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V44.5"	"Tuesday"	"3"	204	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V44.5"	"Wednesday"	"4"	217	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V44.5"	"Thursday"	"5"	229	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V44.5"	"Friday"	"6"	225	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V44.5"	"Saturday"	"7"	136	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V44.6"	"Sunday"	"1"	60	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V44.6"	"Monday"	"2"	53	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V44.6"	"Tuesday"	"3"	59	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V44.6"	"Wednesday"	"4"	75	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V44.6"	"Thursday"	"5"	59	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V44.6"	"Friday"	"6"	52	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident"	"V44.6"	"Saturday"	"7"	54	Not Applicable	Not Applicable
	"Car occupant injured in collision with heavy transport vehicle or bus, unspecified car occupant injured in traffic accident"	"V44.9"	"Tuesday"	"3"	10	Not Applicable	Not Applicable
	"Car occupant injured in collision with railway train or railway vehicle, driver injured in traffic accident"	"V45.5"	"Sunday"	"1"	10	Not Applicable	Not Applicable
	"Car occupant injured in collision with railway train or railway vehicle, driver injured in traffic accident"	"V45.5"	"Tuesday"	"3"	17	Not Applicable	Not Applicable
	"Car occupant injured in collision with railway train or railway vehicle, driver injured in traffic accident"	"V45.5"	"Wednesday"	"4"	10	Not Applicable	Not Applicable
	"Car occupant injured in collision with railway train or railway vehicle, driver injured in traffic accident"	"V45.5"	"Thursday"	"5"	12	Not Applicable	Not Applicable
	"Car occupant injured in collision with railway train or railway vehicle, driver injured in traffic accident"	"V45.5"	"Saturday"	"7"	14	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	"V47.5"	"Sunday"	"1"	786	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	"V47.5"	"Monday"	"2"	566	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	"V47.5"	"Tuesday"	"3"	526	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	"V47.5"	"Wednesday"	"4"	503	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	"V47.5"	"Thursday"	"5"	520	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	"V47.5"	"Friday"	"6"	593	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident"	"V47.5"	"Saturday"	"7"	831	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V47.6"	"Sunday"	"1"	258	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V47.6"	"Monday"	"2"	131	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V47.6"	"Tuesday"	"3"	132	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V47.6"	"Wednesday"	"4"	139	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V47.6"	"Thursday"	"5"	148	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V47.6"	"Friday"	"6"	169	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, passenger injured in traffic accident"	"V47.6"	"Saturday"	"7"	245	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident"	"V47.9"	"Sunday"	"1"	50	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident"	"V47.9"	"Monday"	"2"	41	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident"	"V47.9"	"Tuesday"	"3"	38	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident"	"V47.9"	"Wednesday"	"4"	39	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident"	"V47.9"	"Thursday"	"5"	43	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident"	"V47.9"	"Friday"	"6"	52	Not Applicable	Not Applicable
	"Car occupant injured in collision with fixed or stationary object, unspecified car occupant injured in traffic accident"	"V47.9"	"Saturday"	"7"	46	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, driver injured in nontraffic accident"	"V48.0"	"Saturday"	"7"	10	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, person injured while boarding or alighting"	"V48.4"	"Sunday"	"1"	12	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, person injured while boarding or alighting"	"V48.4"	"Monday"	"2"	16	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, person injured while boarding or alighting"	"V48.4"	"Tuesday"	"3"	10	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, person injured while boarding or alighting"	"V48.4"	"Wednesday"	"4"	13	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, person injured while boarding or alighting"	"V48.4"	"Thursday"	"5"	17	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, person injured while boarding or alighting"	"V48.4"	"Friday"	"6"	25	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, person injured while boarding or alighting"	"V48.4"	"Saturday"	"7"	20	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, driver injured in traffic accident"	"V48.5"	"Sunday"	"1"	406	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, driver injured in traffic accident"	"V48.5"	"Monday"	"2"	307	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, driver injured in traffic accident"	"V48.5"	"Tuesday"	"3"	279	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, driver injured in traffic accident"	"V48.5"	"Wednesday"	"4"	278	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, driver injured in traffic accident"	"V48.5"	"Thursday"	"5"	275	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, driver injured in traffic accident"	"V48.5"	"Friday"	"6"	320	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, driver injured in traffic accident"	"V48.5"	"Saturday"	"7"	383	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, passenger injured in traffic accident"	"V48.6"	"Sunday"	"1"	144	Not Applicable	Not Applicable
	"Car occupant injured in noncollision transport accident, passenger injured in traffic accident"	"V48.6"	"Monday"	"2"	91	Not Applicable	Not Applicable
